nan,-0.0517385826,-0.0481650159,-0.0634208396,-0.0471805409,-0.1001137346,-0.0807790235,-0.0696655884,-0.0310465712,-0.0368974656,-0.0865811855,-0.0761461332,-0.1682405323,-0.1785819381,-0.1675799191,-0.0458738469,-0.0354733318,nan,-0.0359634571,-0.0370010287,-0.0308249388,nan,-0.0344026014,-0.0443947613,-0.0388952978,-0.0294272620,-0.0320479497,-0.0452415235,-0.0390138254,-0.0350979380,-0.0383459777,-0.0402821191,-0.0366605483,-0.0371596813,nan,nan,nan,-0.0450665355,-0.0546033196,-0.1270212382,-0.1623272747,-0.1469661593,-0.1402604580,-0.1254385859,-0.0510289446,-0.0542347245,-0.0479828194,-0.0828433633,-0.0609049238,-0.0424532779,-0.0384249948,-0.0374259800,-0.0341384746,-0.1927158833,-0.0425249748,-0.0470869392,-0.0396942832,-0.0289099924,-0.0636715367,-0.0487125628,-0.0420966893,-0.0919501185,-0.0593238696,-0.0631680638,nan,nan,-0.0555028431,-0.0420672931,-0.0470962152,-0.0362368897,-0.0336212814,-0.0326463655,-0.0340427384,-0.0330656618,-0.0721438378,-0.0618965626,-0.0419084467,-0.0376463346,-0.0361127704,-0.0380301327,-0.0507023782,-0.0384737663,-0.0390361361,-0.0444157086,-0.0321213752,-0.0399198122,-0.0568882748,-0.0727562308,-0.0419799723,-0.0407563746,-0.0438628383,nan,-0.0358666740,-0.0335678197,-0.0308638252,nan,-0.0321774893,-0.0333503261,nan,-0.0309483800,nan
-0.0502797700,nan,-0.0492942929,-0.0631056875,-0.0475184731,-0.0969356596,-0.0790219083,-0.0680966303,-0.0308945645,-0.0349087864,-0.0860304907,-0.0820362419,-0.1656087786,-0.1742058545,-0.1632571816,-0.0451537222,-0.0352781825,nan,-0.0330916867,-0.0333167315,-0.0337829813,nan,-0.0351917855,-0.0470534340,-0.0378878042,-0.0292482842,-0.0300779697,-0.0394068025,-0.0367429666,-0.0350564905,-0.0403462909,-0.0467415750,-0.0429034829,-0.0388956964,nan,nan,nan,-0.0464275219,-0.0541056469,-0.1192222238,-0.1463477612,-0.1463398188,-0.1401402354,-0.1250921339,-0.0522925667,-0.0531008467,-0.0512692854,-0.0811763257,-0.0618566759,-0.0429691449,-0.0378576033,-0.0346154980,-0.0326487161,-0.1911828965,-0.0419448018,-0.0483077765,-0.0416287705,-0.0294264574,-0.0618718527,-0.0483481400,-0.0413973518,-0.0919942409,-0.0583967157,-0.0616043322,nan,nan,-0.0535441488,-0.0417434275,-0.0460234471,-0.0354514681,-0.0334339514,-0.0320947394,-0.0343723446,-0.0318082087,-0.0678623468,-0.0608039834,-0.0404587798,-0.0371825732,-0.0346111506,-0.0368661918,-0.0497574918,-0.0370530561,-0.0381475799,-0.0443949103,-0.0312862881,-0.0401369110,-0.0569550022,-0.0715898648,-0.0404407457,-0.0391952693,-0.0435589366,nan,-0.0349624753,-0.0333930887,-0.0298394542,nan,-0.0315381512,-0.0327765644,nan,-0.0301092807,nan
-0.0521678403,-0.0552546605,nan,-0.0733967349,-0.0505391173,-0.1048829854,-0.0861423910,-0.0736612305,-0.0332825035,-0.0380658917,-0.0821183994,-0.0785534978,-0.1811014265,-0.1889479309,-0.1815374196,-0.0505041257,-0.0385636538,nan,-0.0341233835,-0.0342713967,-0.0326426886,nan,-0.0397432372,-0.0495739505,-0.0428618602,-0.0335961245,-0.0340587050,-0.0374495797,-0.0369970575,-0.0376754254,-0.0448908247,-0.0490877628,-0.0462730192,-0.0440702252,nan,nan,nan,-0.0501275174,-0.0606022403,-0.1289315224,-0.1607638448,-0.1641789973,-0.1598674059,-0.1441167891,-0.0535990112,-0.0631045029,-0.0562300235,-0.0918266475,-0.0692473650,-0.0477123186,-0.0424607992,-0.0388245359,-0.0346485153,-0.2003710717,-0.0442008376,-0.0533274151,-0.0468362086,-0.0336935036,-0.0669722930,-0.0518638939,-0.0442663021,-0.1010157093,-0.0639973730,-0.0666773319,nan,nan,-0.0596989617,-0.0450634882,-0.0519678295,-0.0374212302,-0.0362322070,-0.0350517184,-0.0367374048,-0.0347311720,-0.0748215243,-0.0646531582,-0.0456391983,-0.0404906161,-0.0385099873,-0.0410095118,-0.0539726205,-0.0407421030,-0.0420626439,-0.0488198400,-0.0344254561,-0.0429604575,-0.0612548068,-0.0782696679,-0.0436572321,-0.0438104719,-0.0475703329,nan,-0.0395296216,-0.0374667123,-0.0331149548,nan,-0.0345680900,-0.0354741029,nan,-0.0327915028,nan
-0.0478581712,-0.0463957228,-0.0485743135,nan,-0.0477858447,-0.0958597437,-0.0786021873,-0.0664406717,-0.0298924223,-0.0327501036,-0.0680922121,-0.0669471622,-0.1632391512,-0.1729349792,-0.1633423269,-0.0464074835,-0.0353512131,nan,-0.0287685394,-0.0294036195,-0.0303500574,nan,-0.0349637121,-0.0462434255,-0.0386256948,-0.0329655856,-0.0328689739,-0.0330676585,-0.0306668505,-0.0305470210,-0.0385623835,-0.0440071896,-0.0402200557,-0.0383242145,nan,nan,nan,-0.0504110120,-0.0575951450,-0.1123310849,-0.1388300061,-0.1464274824,-0.1409076452,-0.1261732280,-0.0459910184,-0.0511046946,-0.0495778210,-0.0835254192,-0.0610557310,-0.0434273742,-0.0372982956,-0.0337842554,-0.0310115572,-0.1769743115,-0.0409775786,-0.0489921123,-0.0441779494,-0.0293387044,-0.0620447770,-0.0479807258,-0.0412811786,-0.0884578452,-0.0556562282,-0.0593230389,nan,nan,-0.0518454388,-0.0404694825,-0.0454408638,-0.0341859013,-0.0335870720,-0.0321985669,-0.0329321884,-0.0310401618,-0.0676523373,-0.0575325638,-0.0395751148,-0.0355050713,-0.0337516442,-0.0366244726,-0.0478598066,-0.0366907194,-0.0377090648,-0.0439783335,-0.0326474234,-0.0386658087,-0.0549029894,-0.0692122206,-0.0389973558,-0.0387984253,-0.0418808497,nan,-0.0350258127,-0.0335238725,-0.0298904609,nan,-0.0311663859,-0.0325188190,nan,-0.0297816768,nan
-0.0495006442,-0.0511811711,-0.0501688756,-0.0694104731,nan,-0.1033708528,-0.0855269432,-0.0756625459,-0.0331631303,-0.0358060859,-0.0732613802,-0.0725417435,-0.1796872467,-0.1875992268,-0.1822099835,-0.0512893088,-0.0407737866,nan,-0.0320544168,-0.0320464559,-0.0303849261,nan,-0.0361440927,-0.0494696125,-0.0431668535,-0.0358624868,-0.0399765819,-0.0341179743,-0.0314851552,-0.0337090120,-0.0396065041,-0.0435893685,-0.0444941036,-0.0441009663,nan,nan,nan,-0.0576814674,-0.0676960573,-0.1223588362,-0.1479950100,-0.1564821303,-0.1527124047,-0.1443349123,-0.0492320694,-0.0514959358,-0.0536441877,-0.0936636478,-0.0671132356,-0.0486274511,-0.0416509248,-0.0371910259,-0.0335349888,-0.1938706189,-0.0471634492,-0.0526163653,-0.0495312586,-0.0330523029,-0.0664279014,-0.0528423823,-0.0446025245,-0.0977281258,-0.0621302612,-0.0676147491,nan,nan,-0.0584769286,-0.0460140444,-0.0488089435,-0.0380248725,-0.0371789224,-0.0347731411,-0.0364191122,-0.0344447009,-0.0745995492,-0.0622875392,-0.0444913805,-0.0391196087,-0.0382482000,-0.0398715027,-0.0519015640,-0.0397961624,-0.0417304002,-0.0494496226,-0.0348111056,-0.0424413979,-0.0612420626,-0.0764379948,-0.0432255827,-0.0426311605,-0.0474803559,nan,-0.0375931002,-0.0362334102,-0.0324323066,nan,-0.0344922990,-0.0355430096,nan,-0.0324571431,nan
-0.0472951792,-0.0466404594,-0.0462690294,-0.0629324615,-0.0475137718,nan,-0.0818228051,-0.0706473067,-0.0313001163,-0.0331956781,-0.0658724681,-0.0651705414,-0.1654770821,-0.1732732803,-0.1721078008,-0.0513057299,-0.0412658602,nan,-0.0287233703,-0.0296050925,-0.0280343778,nan,-0.0320298858,-0.0406338722,-0.0397356525,-0.0359880812,-0.0411110632,-0.0306131057,-0.0276731718,-0.0292754602,-0.0330595896,-0.0412897579,-0.0390142836,-0.0362962261,nan,nan,nan,-0.0625822023,-0.0660612509,-0.1128928587,-0.1365454197,-0.1391406804,-0.1382677555,-0.1306817979,-0.0443721712,-0.0487985201,-0.0458898358,-0.0849695802,-0.0603003241,-0.0471487120,-0.0397453383,-0.0337810777,-0.0320404656,-0.1782170683,-0.0393295772,-0.0494543947,-0.0445966162,-0.0313552730,-0.0647865534,-0.0490466282,-0.0423295796,-0.0937556997,-0.0580126084,-0.0616660751,nan,nan,-0.0525691807,-0.0415124223,-0.0451863408,-0.0351485237,-0.0340041406,-0.0317462720,-0.0345323794,-0.0319932811,-0.0689395294,-0.0583459958,-0.0400618725,-0.0358870625,-0.0345656872,-0.0366133638,-0.0483706705,-0.0372623354,-0.0392927006,-0.0446383469,-0.0335032642,-0.0386177078,-0.0572304465,-0.0716803893,-0.0417806543,-0.0394389853,-0.0539009459,nan,-0.0341397747,-0.0334315263,-0.0296479389,nan,-0.0322427526,-0.0325596556,nan,-0.0310641583,nan
-0.0477382243,-0.0470455773,-0.0470747091,-0.0632355064,-0.0481859818,-0.1038434505,nan,-0.0731798634,-0.0358099900,-0.0329624787,-0.0675391480,-0.0657180250,-0.1661352515,-0.1784741580,-0.1745475680,-0.0554014742,-0.0402674079,nan,-0.0281480737,-0.0295463316,-0.0274277106,nan,-0.0310484413,-0.0390587263,-0.0407333188,-0.0366366059,-0.0412386619,-0.0311677679,-0.0275300127,-0.0291535482,-0.0329431593,-0.0369579382,-0.0369668752,-0.0349802002,nan,nan,nan,-0.0710127801,-0.0699153766,-0.1158795804,-0.1377256662,-0.1413728148,-0.1407330781,-0.1314385086,-0.0441835001,-0.0462090448,-0.0472905673,-0.0832078829,-0.0626381636,-0.0501514599,-0.0414336473,-0.0344089195,-0.0310363695,-0.1812896132,-0.0388958380,-0.0442302451,-0.0472162887,-0.0328810401,-0.0662452951,-0.0506105684,-0.0457669869,-0.0942716748,-0.0595007651,-0.0638793185,nan,nan,-0.0546988174,-0.0416889600,-0.0470767617,-0.0362205356,-0.0350730419,-0.0330732055,-0.0351559632,-0.0324338004,-0.0704963058,-0.0586512201,-0.0411725454,-0.0361643173,-0.0353130847,-0.0372359641,-0.0493109711,-0.0373082906,-0.0390821546,-0.0440057740,-0.0324752219,-0.0409238115,-0.0580112599,-0.0723102614,-0.0407229438,-0.0400563180,-0.0496291853,nan,-0.0346772894,-0.0333314426,-0.0300914850,nan,-0.0323856734,-0.0334460773,nan,-0.0309163705,nan
-0.0392926671,-0.0406974331,-0.0397127420,-0.0550004244,-0.0439969935,-0.0901900232,-0.0758820772,nan,-0.5972834826,-0.0328594148,-0.0679105893,-0.0639540777,-0.1624004096,-0.1708190292,-0.1688803136,-0.0555217713,-0.0394778885,nan,-0.0288285948,-0.0290423688,-0.0258192848,nan,-0.0285912491,-0.0370143093,-0.0397248492,-0.0363653824,-0.0387870483,-0.0319590606,-0.0287711304,-0.0306153279,-0.0321507789,-0.0351491719,-0.0351309255,-0.0326250754,nan,nan,nan,-0.0682332292,-0.0696833655,-0.1117503047,-0.1295838803,-0.1302404106,-0.1347162127,-0.1260280460,-0.0424149819,-0.0440987870,-0.0394881666,-0.0728371590,-0.0587841347,-0.0487989262,-0.0398622416,-0.0320735872,-0.0294712540,-0.1676260531,-0.0344879590,-0.0431489646,-0.0398276411,-0.0301870666,-0.0621001832,-0.0497698411,-0.0433530621,-0.0914625973,-0.0592387505,-0.0628360435,nan,nan,-0.0515717380,-0.0403068773,-0.0442737192,-0.0342789851,-0.0353889242,-0.0320172012,-0.0336926356,-0.0305627268,-0.0660489127,-0.0435781442,-0.0351045281,-0.0323077366,-0.0320541114,-0.0340740457,-0.0450578593,-0.0365700386,-0.0362359472,-0.0413393453,-0.0307891108,-0.0382509790,-0.0539009422,-0.0674719587,-0.0404257961,-0.0406397209,-0.0483448431,nan,-0.0316196047,-0.0308888219,-0.0272940286,nan,-0.0311126634,-0.0316415839,nan,-0.0303549990,nan
-0.0600334890,-0.0605913624,-0.0607031472,-0.0852598250,-0.0628530532,-0.1361296624,-0.1186612919,-1.2689270973,nan,-0.0488040596,-0.0986121073,-0.0981171057,-0.2616170347,-0.2619287074,-0.2617835701,-0.0792296976,-0.0706518292,nan,-0.0434425399,-0.0437163897,-0.0393037684,nan,-0.0433632061,-0.0542748608,-0.0546716377,-0.0529984161,-0.0552749597,-0.0474571213,-0.0431435294,-0.0480135232,-0.0475681536,-0.0517967567,-0.0514764041,-0.0502329096,nan,nan,nan,-0.1144931242,-0.1054083779,-0.1678542048,-0.1912677139,-0.1920486540,-0.1910867989,-0.1861751378,-0.0648676604,-0.0640668198,-0.0602906905,-0.1155992597,-0.0872390866,-0.0875725299,-0.0677461103,-0.0486960337,-0.0773819983,-0.2515993118,-0.0494371802,-0.0638407171,-0.0591597669,-0.0477475859,-0.0925064906,-0.0811305791,-0.0650888234,-0.1337643266,-0.0882154554,-0.0925889313,nan,nan,-0.0768457055,-0.0592006072,-0.0672030449,-0.0516885109,-0.0480645038,-0.0472415797,-0.0508624129,-0.0473415852,-0.0981876552,-0.0657796785,-0.0525478423,-0.0484351628,-0.0474460572,-0.0518308170,-0.0711538717,-0.0549573191,-0.0553775877,-0.0629524142,-0.0460143425,-0.0589962453,-0.0820215568,-0.1027436405,-0.0589271896,-0.0590194166,-0.0673279315,nan,-0.0488246195,-0.0468379222,-0.0409557708,nan,-0.0455455072,-0.0480119288,nan,-0.0470255017,nan
-0.0405656509,-0.0406135544,-0.0409309678,-0.0540504009,-0.0404062420,-0.0846772194,-0.0706089288,-0.0644747019,-0.0307235774,nan,-4.5306921005,-0.1201663017,-0.1683447361,-0.1729664356,-0.1667272002,-0.0451897234,-0.0339540653,nan,-0.0355696045,-0.0365416557,-0.0303761605,nan,-0.0295912679,-0.0395269841,-0.0345038138,-0.0265224148,-0.0286608990,-0.0452314839,-0.0474782363,-0.0402508974,-0.0489785448,-0.0490091965,-0.0384875052,-0.0365387052,nan,nan,nan,-0.0430323333,-0.0516193360,-0.1309519410,-0.1461122483,-0.1444293410,-0.1345077753,-0.1239034608,-0.0459959060,-0.0491714329,-0.0417266078,-0.0762185678,-0.0532172993,-0.0399423726,-0.0362162031,-0.0345717035,-0.0309869237,-0.1705430746,-0.0336710848,-0.0403293706,-0.0357148796,-0.0265033077,-0.0602287278,-0.0469804145,-0.0402907655,-0.0931816548,-0.0619993694,-0.0651272535,nan,nan,-0.0516470522,-0.0408229157,-0.0449923500,-0.0341868699,-0.0319954939,-0.0308505539,-0.0324419178,-0.0313334167,-0.0665335432,-0.0432599299,-0.0354687087,-0.0335688628,-0.0322676003,-0.0343037695,-0.0481627062,-0.0353668109,-0.0361064672,-0.0419929661,-0.0304457750,-0.0382471383,-0.0529268496,-0.0685504749,-0.0417751223,-0.0421752185,-0.0504700430,nan,-0.0323397592,-0.0312333871,-0.0272620432,nan,-0.0316909775,-0.0319132730,nan,-0.0290157832,nan
